study_number,year,month,day,n,participant_response_type,participant_feature_count,linguistic_framing,question_type,familiarization_status,stim_index,scale_and_level,cond,summary_of_results,code,submit_time,comment,transition_comment,grayscale_referent,filename,first_analysis_file
1,2013,11,18,50,1,1,0,0,0,1,1,1,,none,,effect of betting,favorite,0,,
2,2013,11,18,50,2,1,0,0,0,1,1,1,,none,,effect of likert,favorite,0,,
3,2013,11,29,50,2,1,0,0,0,2,1,1,,none,,effect of likert,favortie,0,,
4,2013,11,30,50,0,1,0,0,0,1,1,1,,none,82.3,,from here the the referent is requested at the bottom of the screen,0,,
5,2013,11,30,50,0,1,0,0,0,2,1,1,,none,83.7,,favorite,0,,
6,2013,12,1,50,0,1,0,0,0,3,1,1,,none,61.2,,favorite,0,,
7,2013,12,1,50,0,1,0,0,0,0,1,1,,XYZQ,,,favorite,0,,
8,2013,12,1,50,0,1,1,0,0,1,1,1,,AGSK,66.7,first to not use the favorite framing finally getting decent pragmatic proportions. Linguistic framing is “one word to communicate with you”,not favorite anymore,0,,
9,2013,12,1,50,1,1,1,0,0,1,1,1,,AGHP,95,,,0,,
10,2013,12,2,50,2,1,1,0,0,1,1,1,,JSLD,82.6,,,0,,
11,2013,12,7,50,0,1,1,0,0,0,1,1,,LFBN,69.3,boat,,0,,
12,2013,12,7,140,0,1,1,0,0,3,1,1,,LSBN,78.6,snowman. Accidentally added 90 subjects for a total of 140 (due to buggy interface for adding subjects to study),,0,,
13,2013,12,8,50,0,1,1,0,0,4,1,1,,LSBZ,64.8,sundae,,0,,
14,2013,12,8,50,1,1,1,0,0,0,1,1,,LZZZ,106.1,boat,,0,,
15,2013,12,8,50,1,1,1,0,0,3,1,1,,LSSS,80.9,snowman,,0,,
16,2013,12,8,50,1,1,1,0,0,3,1,1,,BSUN,89.2,sundae. someone mentioned that “25% of people (at least) are not accurate” which is why not all of the betting is being allocated to the pragmatic inference option (target).,,0,,
17,2013,12,9,50,2,1,1,0,0,4,1,1,,LSUN,108.1,sundae,likert series one word,0,,
18,2013,12,9,50,2,1,1,0,0,3,1,1,,FINA,104.1,snowman,likert series one word,0,,
